id,CSV商品名,サイト商品名,詳細URL,旧値,新値,結果,理由
29,ピアスorイヤリング うすらい<薄氷> 星 側面菱 青,ピアスorイヤリング うすらい<薄氷> 星 側面菱 青,https://tomokiriko.stores.jp/items/69a04196df6a592529e7b0ac,SOLD OUT,17600,updated,
30,ピアスorイヤリング うすらい<薄氷>  麻の葉 ホログラム,ピアスorイヤリング うすらい<薄氷> 麻の葉 ホログラム,https://tomokiriko.stores.jp/items/69a041543b493834ea4a0f9a,SOLD OUT,29700,updated,
31,ストレートロックグラス しののめ 金赤×青,ストレートロックグラス しののめ 金赤×青,https://tomokiriko.stores.jp/items/6944fdbf5c88a231ceb4da7b,SOLD OUT,55000,updated,
32,寸胴ロックグラス 夕陽影 黒×金赤,寸胴ロックグラス 夕陽影 黒×金赤,https://tomokiriko.stores.jp/items/6944fcec689119313ea3485b,SOLD OUT,68090,updated,
33,蓋物 碧空 青,蓋物 碧空 青,https://tomokiriko.stores.jp/items/6944fbf60d04b931f1c1bd5f,SOLD OUT,88000,updated,
34,寸胴ロックグラス 夕陽影 ゆめかわ,寸胴ロックグラス 夕陽影 ゆめかわ,https://tomokiriko.stores.jp/items/6944fb7c0c846b29df5e5929,SOLD OUT,77000,updated,
35,ぐい呑 dance ゆめかわ 虹色,ぐい呑 dance ゆめかわ 虹色,https://tomokiriko.stores.jp/items/6944fb193e68ea2016fe7886,SOLD OUT,46090,updated,
36,ぐい呑 波間 青×アンバー,ぐい呑 波間 青×アンバー,https://tomokiriko.stores.jp/items/6944fa7bef730a1ec06f10ef,SOLD OUT,33550,updated,
37,天開ロックグラス 夢の中 金赤×白,天開ロックグラス 夢の中 金赤×白,https://tomokiriko.stores.jp/items/6800880a12d03935dfaa5a2f,SOLD OUT,66000,updated,
38,ロックグラス 夕陽影 ゆめかわ 虹,ロックグラス 夕陽影 ゆめかわ 虹,https://tomokiriko.stores.jp/items/6881e1b1a2eab23ff2a3a512,SOLD OUT,77000,updated,
39,寸胴ロックグラス 夕陽影 黒×金赤×透明,寸胴ロックグラス 夕陽影 黒×金赤×透明,https://tomokiriko.stores.jp/items/6881e11c75716e42db1565c1,SOLD OUT,69850,updated,
40,丸ペーパーウェイト 金赤,丸ペーパーウェイト 金赤,https://tomokiriko.stores.jp/items/6881dde022a0b83d8d5e1c48,SOLD OUT,27000,updated,
41,ぐい呑 波間 金赤,ぐい呑 波間 金赤,https://tomokiriko.stores.jp/items/6881d8c7a625e800a116a49d,SOLD OUT,28050,updated,
42,天開ロックグラス 夢の中 黄色,天開ロックグラス 夢の中 黄色,https://tomokiriko.stores.jp/items/6881cbc28fd8873c7020bddc,SOLD OUT,38500,updated,
43,小鉢 透華 白,小鉢 透華 白,https://tomokiriko.stores.jp/items/6881c73110a4923d577b7249,SOLD OUT,25300,updated,
44,ピアスorイヤリング うすらい<薄氷>麻の葉 白×金赤,ピアスorイヤリング うすらい<薄氷>麻の葉 白×金赤,https://tomokiriko.stores.jp/items/6881c000b3910e116d53b26d,SOLD OUT,20020,updated,
45,ぐい呑 つながり 金赤,ぐい呑 つながり 金赤,https://tomokiriko.stores.jp/items/6800823012d039a7bfaa5a52,SOLD OUT,24200,updated,
46,脚付グラス ゆめかわ,脚付グラス ゆめかわ,https://tomokiriko.stores.jp/items/680098104b9bca8032be370a,SOLD OUT,77000,updated,
47,ストレートロックグラス 舞<ひらり> アンバー,ストレートロックグラス 舞<ひらり> アンバー,https://tomokiriko.stores.jp/items/6800919b324c36e391347d9d,SOLD OUT,42900,updated,
48,ぐい呑 つながり 青,ぐい呑 つながり 青,https://tomokiriko.stores.jp/items/680081583cea4a8f6182fe07,SOLD OUT,23650,updated,
49,ぐい呑 つながり 白,ぐい呑 つながり 白,https://tomokiriko.stores.jp/items/6800834dff9a53b9afce3d9c,SOLD OUT,23650,updated,
50,タンブラー 舞<ひらり> 瑠璃,タンブラー 舞<ひらり> 瑠璃,https://tomokiriko.stores.jp/items/675163ffa078910b55f70bbe,SOLD OUT,42900,updated,
51,中タンブラー しののめ 青,中タンブラー しののめ 青,https://tomokiriko.stores.jp/items/68009582233fa83611717252,SOLD OUT,40040,updated,
52,ピアスorイヤリング うすらい<薄氷> 菊繋ぎ 金赤+アンバー,ピアスorイヤリング うすらい<薄氷> 菊繋ぎ 金赤+アンバー,https://tomokiriko.stores.jp/items/68008e9fff9a539ed4ce3db9,SOLD OUT,19250,updated,
53,樽型グラス ゆめかわ ランタナ,樽型グラス ゆめかわ ランタナ,https://tomokiriko.stores.jp/items/68009cdb3cc55237493958d0,SOLD OUT,78100,updated,
54,樽型グラス ゆめかわ 紫陽花,樽型グラス ゆめかわ 紫陽花,https://tomokiriko.stores.jp/items/68009b42e5a6e613742d064b,SOLD OUT,77000,updated,
55,ストレートロックグラス 舞<ひらり> 金紫,ストレートロックグラス 舞<ひらり> 金紫,https://tomokiriko.stores.jp/items/68009132ff9a53c9d2ce3de2,SOLD OUT,44000,updated,
56,ピアスorイヤリング うすらい<薄氷> 星 両面カット 青,ピアスorイヤリング うすらい<薄氷> 星 両面カット 青,https://tomokiriko.stores.jp/items/68008eefff9a53a996ce3da4,SOLD OUT,17600,updated,
57,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 青,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 青,https://tomokiriko.stores.jp/items/68008f8d233fa89dcc717288,SOLD OUT,16060,updated,
58,天開ロックグラス 夢の中 アンバー,天開ロックグラス 夢の中 アンバー,https://tomokiriko.stores.jp/items/68008918233fa82dae71723e,SOLD OUT,38500,updated,
59,ぐい呑 つながり アンバー×青,ぐい呑 つながり アンバー×青,https://tomokiriko.stores.jp/items/680087833cea4a290d82fe13,SOLD OUT,34100,updated,
60,ぐい呑 雪砂糖 青×白,ぐい呑 雪砂糖 青×白,https://tomokiriko.stores.jp/items/680087194b9bca44d8be359e,SOLD OUT,33000,updated,
61,ショットグラス 菊矢来 透明,ショットグラス 菊矢来 透明,https://tomokiriko.stores.jp/items/6800856c7ae4bd102f083a58,SOLD OUT,24200,updated,
62,ショットグラス 菊矢来 金赤×青,ショットグラス 菊矢来 金赤×青,https://tomokiriko.stores.jp/items/68008512324c36e5fc347d99,SOLD OUT,36080,updated,
63,ぐい呑 星の影 黒,ぐい呑 星の影 黒,https://tomokiriko.stores.jp/items/680082b54b9bcacf17be2c20,SOLD OUT,25300,updated,
64,ぐい呑 つながり 金赤×白,ぐい呑 つながり 金赤×白,https://tomokiriko.stores.jp/items/680081e1324c36a87e347d8f,SOLD OUT,34100,updated,
65,ぐい呑 星の影 アンバー×青,ぐい呑 星の影 アンバー×青,https://tomokiriko.stores.jp/items/680080f7ff9a537f32ce3dcc,SOLD OUT,33000,updated,
66,ぐい呑 ゆめかわ dance 新緑,ぐい呑 ゆめかわ dance 新緑,https://tomokiriko.stores.jp/items/679ace88900a5100e2594873,SOLD OUT,45000,updated,
67,ぐい呑 波間 青,ぐい呑 波間 青,https://tomokiriko.stores.jp/items/67962bc5ce75b2272969f755,SOLD OUT,25300,updated,
68,ぐい呑 星の影 青×アンバー,ぐい呑 星の影 青×アンバー,https://tomokiriko.stores.jp/items/679629d6f30db22ac24aab86,SOLD OUT,33000,updated,
69,ぐい呑 常夜 緑,ぐい呑 常夜 緑,https://tomokiriko.stores.jp/items/67962624bfa2872fd3ae4fe0,SOLD OUT,25300,updated,
70,ピアスorイヤリング うすらい<薄氷> 八角籠目 両面カット ホログラム,ピアスorイヤリング うすらい<薄氷> 八角籠目 両面カット ホログラム,https://tomokiriko.stores.jp/items/6751a6944b15c007c010e6f1,SOLD OUT,32450,updated,
71,切子ペンダント chocolate 側面菱 両面カット ホログラム,切子ペンダント chocolate 側面菱 両面カット ホログラム,https://tomokiriko.stores.jp/items/6751a4cb4b15c0079b10e764,SOLD OUT,28050,updated,
72,ピアスorイヤリング 星 金赤,ピアスorイヤリング 星 金赤,https://tomokiriko.stores.jp/items/6751a27c10a49208635f2a62,SOLD OUT,15400,updated,
73,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 ホログラム,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 ホログラム,https://tomokiriko.stores.jp/items/6751a19610a49208115f2a81,SOLD OUT,29700,updated,
74,ピアスorイヤリング うすらい<薄氷> 菊繋ぎ 両面カット ホログラム,ピアスorイヤリング うすらい<薄氷> 菊繋ぎ 両面カット ホログラム,https://tomokiriko.stores.jp/items/6751a05e10a49207f75f2a51,SOLD OUT,31900,updated,
75,ピアスorイヤリング うすらい<薄氷> 矢来 左右色違い 青 金紫,ピアスorイヤリング うすらい<薄氷> 矢来 左右色違い 青 金紫,https://tomokiriko.stores.jp/items/67519f31ff6e7207e380afcf,SOLD OUT,18700,updated,
76,切子ペンダント うすらい<薄氷> 菊繋ぎ 金紫,切子ペンダント うすらい<薄氷> 菊繋ぎ 金紫,https://tomokiriko.stores.jp/items/67519dfbd34c9c07a121d4e7,SOLD OUT,14850,updated,
77,ストレートロックグラス（小）舞 <ひらり> 青,ストレートロックグラス（小）舞 <ひらり> 青,https://tomokiriko.stores.jp/items/6751652aa078910b55f70c1e,SOLD OUT,41910,updated,
78,ロックグラス 花の宴 アンバー,ロックグラス 花の宴 アンバー,https://tomokiriko.stores.jp/items/67515ea78fd8870b4246383b,SOLD OUT,32010,updated,
79,ストレートタンブラー しののめ 金赤,ストレートタンブラー しののめ 金赤,https://tomokiriko.stores.jp/items/666ef35b275829169aada18d,SOLD OUT,33660,updated,
80,ぐい呑 鳳凰 オレンジ〜赤,ぐい呑 鳳凰 オレンジ〜赤,https://tomokiriko.stores.jp/items/6719f6cf5015b20200ee3ce7,SOLD OUT,44000,updated,
81,寸胴ロックグラス 夕陽影 ゆめかわ,寸胴ロックグラス 夕陽影 ゆめかわ,https://tomokiriko.stores.jp/items/6719fa78cb9db802f439c754,SOLD OUT,77000,updated,
82,ペンダント ほしかがみ<星鏡> 八角籠目 金紫,ペンダント ほしかがみ<星鏡> 八角籠目 金紫,https://tomokiriko.stores.jp/items/6719ec718e735f0437cea0f3,SOLD OUT,14000,updated,
83,寸胴ロックグラス 夕陽影 ゆめかわ 虹,寸胴ロックグラス 夕陽影 ゆめかわ 虹,https://tomokiriko.stores.jp/items/6719f8b16d819c024b91b621,SOLD OUT,77000,updated,
84,寸胴ロックグラス 夕陽影 ゆめかわ 青系,寸胴ロックグラス 夕陽影 ゆめかわ 青系,https://tomokiriko.stores.jp/items/671b2939e21785199aea83ae,SOLD OUT,77000,updated,
85,ぐい呑 ゆめかわ 紫陽花,ぐい呑 ゆめかわ 紫陽花,https://tomokiriko.stores.jp/items/671b28bee21785196bea83d8,SOLD OUT,45000,updated,
86,ぐい呑 ゆめかわ 虹,ぐい呑 ゆめかわ 虹,https://tomokiriko.stores.jp/items/671b28742d34961e61786c9c,SOLD OUT,45000,updated,
87,小カップ 菊繋ぎ 矢来 虹,小カップ 菊繋ぎ 矢来 虹,https://tomokiriko.stores.jp/items/671b27eee99ff93e3830c9ee,SOLD OUT,33000,updated,
88,ぐい呑 常夜 青×金赤,ぐい呑 常夜 青×金赤,https://tomokiriko.stores.jp/items/671b27583ef3061efbe9fddc,SOLD OUT,33000,updated,
89,蓋物  菊繋ぎ 菊籠目 青,蓋物 菊繋ぎ 菊籠目 青,https://tomokiriko.stores.jp/items/6719f818de31fb01ebac0af6,SOLD OUT,88000,updated,
90,ショットグラス 青×アンバー,ショットグラス 青×アンバー,https://tomokiriko.stores.jp/items/6719fb156d819c02aa91b64e,SOLD OUT,33000,updated,
91,ロングタンブラー しののめ 金紫,ロングタンブラー しののめ 金紫,https://tomokiriko.stores.jp/items/6719f3ac6d819c003091b517,SOLD OUT,40500,updated,
92,ロングタンブラー しののめ 青,ロングタンブラー しののめ 青,https://tomokiriko.stores.jp/items/6719f25fb46a3704b9c3b776,SOLD OUT,40000,updated,
93,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 ホログラム,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 ホログラム,https://tomokiriko.stores.jp/items/6719eea6471cb303f9324cff,SOLD OUT,29500,updated,
94,ピアスorイヤリング うすらい<薄氷> 矢来 ホログラム,ピアスorイヤリング うすらい<薄氷> 矢来 ホログラム,https://tomokiriko.stores.jp/items/6719ede1471cb303c8324d2c,SOLD OUT,28500,updated,
95,ピアスorイヤリング ほしかがみ<星鏡> 青,ピアスorイヤリング ほしかがみ<星鏡> 青,https://tomokiriko.stores.jp/items/6719ecf68e735f03ddcea132,SOLD OUT,14000,updated,
96,ペンダント chocolate 側面菱 八角籠目 ホログラム,ペンダント chocolate 側面菱 八角籠目 ホログラム,https://tomokiriko.stores.jp/items/6719ebddb2940f029fbcf13f,SOLD OUT,28000,updated,
97,ペンダント 八角籠目 金赤,ペンダント 八角籠目 金赤,https://tomokiriko.stores.jp/items/6719eaff57ef7202e082004d,SOLD OUT,15000,updated,
98,ペンダント ほしかがみ<星鏡> 両面カット矢来 ホログラム,ペンダント ほしかがみ<星鏡> 両面カット矢来 ホログラム,https://tomokiriko.stores.jp/items/6719ea0d57ef7202e082001a,SOLD OUT,27000,updated,
99,ペンダント ほしかがみ<星鏡> 青,ペンダント ほしかがみ<星鏡> 青,https://tomokiriko.stores.jp/items/6719e770808e2c0226625fd6,SOLD OUT,14300,updated,
100,寸胴ロックグラス ゆめかわ,寸胴ロックグラス ゆめかわ,https://tomokiriko.stores.jp/items/666efee19475d41de1f59cba,SOLD OUT,77000,updated,
101,ぐい呑 ゆめかわ 虹 5,ぐい呑 ゆめかわ 虹 5,https://tomokiriko.stores.jp/items/666efb6985c33718331ec6a0,SOLD OUT,45000,updated,
102,ぐい呑 ゆめかわ 爽 6,ぐい呑 ゆめかわ 爽 6,https://tomokiriko.stores.jp/items/666efafb1052510e3efa28ff,SOLD OUT,45000,updated,
103,ぐい呑 灯<あかり> 金赤 16,ぐい呑 灯<あかり> 金赤 16,https://tomokiriko.stores.jp/items/666ef946808e2c099e39b795,SOLD OUT,24500,updated,
104,ぐい呑 常夜 透明 10,ぐい呑 常夜 透明 10,https://tomokiriko.stores.jp/items/666ef8c09475d41d63f59f50,SOLD OUT,21000,updated,
105,ぐい呑 常夜 金紫×白 11,ぐい呑 常夜 金紫×白 11,https://tomokiriko.stores.jp/items/666ef84f27582916bdada1a2,SOLD OUT,33500,updated,
106,ロングタンブラー 舞<ひらり> 青 66,ロングタンブラー 舞<ひらり> 青 66,https://tomokiriko.stores.jp/items/666ef6e21052510e3efa281b,SOLD OUT,46000,updated,
107,オブジェ ペーパーウェイト 金赤 78,オブジェ ペーパーウェイト 金赤 78,https://tomokiriko.stores.jp/items/666ef5be808e2c099e39b6b3,SOLD OUT,27500,updated,
108,オブジェ ペーパーウェイト 緑 81,オブジェ ペーパーウェイト 緑 81,https://tomokiriko.stores.jp/items/666ef54e808e2c099e39b6a3,SOLD OUT,27000,updated,
109,つながり ぐい呑み 黒,つながり ぐい呑み 黒,https://tomokiriko.stores.jp/items/64ba1dea5ab45e007ea1e71f,SOLD OUT,24000,updated,
110,つながり 切子ぐい呑 金赤×青,つながり 切子ぐい呑 金赤×青,https://tomokiriko.stores.jp/items/63eddcce93f61946779ee3d1,SOLD OUT,34000,updated,
111,常夜 切子ぐい呑 青×金赤 【薄】,常夜 切子ぐい呑 青×金赤 【薄】,https://tomokiriko.stores.jp/items/63eddc2939da5f596ba119cc,SOLD OUT,33000,updated,
112,常夜 切子ぐい呑 金紫,常夜 切子ぐい呑 金紫,https://tomokiriko.stores.jp/items/63eddb80d19123441d3b6d86,SOLD OUT,20000,updated,
113,草紘<くさづな>,草紘<くさづな>,https://tomokiriko.stores.jp/items/63c213ae42935160751d8005,SOLD OUT,15000,updated,
114,夢の中<天開ロックグラス> 金赤×オレンジ,夢の中<天開ロックグラス> 金赤×オレンジ,https://tomokiriko.stores.jp/items/63c211b86e84d504ffe5e668,SOLD OUT,60000,updated,
115,切子小鉢 透華 アンバー,切子小鉢 透華 アンバー,https://tomokiriko.stores.jp/items/63c2109fc9883d264f7d464e,SOLD OUT,27000,updated,
116,しののめ<東雲>ロックグラス 緑×青,しののめ<東雲>ロックグラス 緑×青,https://tomokiriko.stores.jp/items/6004192dda019c4b3add4489,SOLD OUT,40000,updated,
117,常夜 切子ぐい呑 金赤×青,常夜 切子ぐい呑 金赤×青,https://tomokiriko.stores.jp/items/5f460fcb7df28165d0101644,SOLD OUT,33000,updated,
118,夢の中 天開ロックグラス オレンジ,夢の中 天開ロックグラス オレンジ,https://tomokiriko.stores.jp/items/621b68f6e3bbd12760369902,SOLD OUT,38000,updated,
119,切子花瓶 たおやか 金赤,切子花瓶 たおやか 金赤,https://tomokiriko.stores.jp/items/632d2638f3086526093cd5d5,SOLD OUT,40000,updated,
120,切子花瓶 こもれび 緑,切子花瓶 こもれび 緑,https://tomokiriko.stores.jp/items/632d2dab23c2aa3a6de15fc5,SOLD OUT,30000,updated,
121,ゴブレット pink,ゴブレット pink,https://tomokiriko.stores.jp/items/635a2977c808a42a0a5db079,SOLD OUT,48000,updated,
122,ゴブレット orange,ゴブレット orange,https://tomokiriko.stores.jp/items/635a28584b08394465e3ab26,SOLD OUT,48000,updated,
123,うたかた<泡沫>天開ロックグラス 青,うたかた<泡沫>天開ロックグラス 青,https://tomokiriko.stores.jp/items/632d2a4f2e745247627eec42,SOLD OUT,39000,updated,
